Item1,Item2,Time,Book
Mr. Squeers,Nicholas,418,nicholas-nickleby
William,Squeers,419,nicholas-nickleby
Squeers,William,419,nicholas-nickleby
Squeers,Mr. Nickleby,425,nicholas-nickleby
Mr. Nickleby,Squeers,425,nicholas-nickleby
Nicholas,Mr. Squeers,426,nicholas-nickleby
Mr. Squeers,Nicholas,426,nicholas-nickleby
Nicholas,Mr. Squeers,432,nicholas-nickleby
Nicholas,Mr. Ralph Nickleby,432,nicholas-nickleby
Mr. Squeers,Nicholas,432,nicholas-nickleby
Mr. Squeers,Mr. Ralph Nickleby,432,nicholas-nickleby
Mr. Ralph Nickleby,Nicholas,432,nicholas-nickleby
Mr. Ralph Nickleby,Mr. Squeers,432,nicholas-nickleby
Nickleby,Squeers,440,nicholas-nickleby
Squeers,Nickleby,440,nicholas-nickleby
Ralph,Mr. Squeers,442,nicholas-nickleby
Mr. Squeers,Ralph,442,nicholas-nickleby
Ralph,Nicholas,444,nicholas-nickleby
